frame,matches,ground_truth_distance,estimated_distance,localization_error
37,8,0.12709492553880924,1.0,0.8729050744611908
41,9,0.008836329601081008,1.0,0.991163670398919
42,11,0.03507171111002003,1.0,0.96492828888998
43,15,0.10644227269911449,0.9999999999999999,0.8935577273008855
44,25,0.08677204261663543,1.0,0.9132279573833646
45,48,0.12829080099782628,0.9999999999999999,0.8717091990021736
46,99,0.040721623298337256,0.9999999999999998,0.9592783767016625
47,69,0.050673412580293606,1.0,0.9493265874197064
48,70,0.05484254738042595,1.0,0.9451574526195741
49,71,0.1257216775817364,1.0,0.8742783224182635
50,94,0.046088020683698244,1.0,0.9539119793163018
51,79,0.06543444604556856,1.0,0.9345655539544314
52,99,0.11718441243739239,1.0,0.8828155875626076
53,141,0.0930015840178363,0.9999999999999999,0.9069984159821636
54,185,0.06827673400306779,0.9999999999999999,0.9317232659969321
55,186,0.025866117667191997,0.9999999999999999,0.9741338823328078
56,210,0.08684916503456822,1.0,0.9131508349654318
57,311,0.026778794486832472,1.0,0.9732212055131675
58,253,0.048311605677456404,0.9999999999999999,0.9516883943225435
59,325,0.013685224466228501,1.0,0.9863147755337714
60,306,0.06327267275858547,1.0,0.9367273272414145
61,513,0.033281664313659635,1.0,0.9667183356863404
62,541,0.07548807607166998,1.0,0.92451192392833
63,690,0.14355201739024517,0.9999999999999999,0.8564479826097547
64,1139,0.06497782279964744,1.0,0.9350221772003525
65,1164,0.09897508531394665,0.9999999999999999,0.9010249146860533
66,1849,0.004711947774021275,0.9999999999999999,0.9952880522259786
67,1477,0.04966250512121115,0.9999999999999999,0.9503374948787887
68,1369,0.06608934606226667,1.0,0.9339106539377333
69,1498,0.03806921291063307,0.9999999999999999,0.9619307870893669
70,1528,0.030307262756092284,0.9999999999999999,0.9696927372439076
71,1009,0.11091239303782492,0.9999999999999999,0.8890876069621749
72,818,0.13687068011309647,0.9999999999999999,0.8631293198869034
73,731,0.09468671820762534,1.0,0.9053132817923747
74,807,0.041485457032006734,1.0,0.9585145429679933
75,595,0.07767047785610087,1.0,0.9223295221438992
76,449,0.13747532182205863,0.9999999999999999,0.8625246781779412
77,537,0.0965209497066664,1.0,0.9034790502933336
78,687,0.023106943913522852,1.0,0.9768930560864771
79,703,0.03172368803907478,1.0,0.9682763119609252
80,632,0.10750320522036336,1.0,0.8924967947796366
81,731,0.04724088483573665,1.0,0.9527591151642634
82,812,0.018847837859096286,1.0,0.9811521621409037
83,768,0.03368254772382526,1.0,0.9663174522761747
84,930,0.017598060759247316,1.0,0.9824019392407527
85,740,0.06859053106389355,1.0,0.9314094689361064
86,810,0.027695306460323265,0.9999999999999999,0.9723046935396766
87,719,0.053147934357895395,1.0,0.9468520656421046
88,593,0.11549659376765725,1.0,0.8845034062323427
89,482,0.16119029602356552,0.9999999999999999,0.8388097039764344
90,573,0.07875900779202855,1.0,0.9212409922079714
91,343,0.1265541280942917,1.0,0.8734458719057083
92,313,0.04054617043974962,1.0,0.9594538295602504
93,272,0.076740806604416,1.0,0.923259193395584
94,494,0.05482492869521727,0.9999999999999999,0.9451750713047826
95,924,0.06871036245936976,0.9999999999999999,0.9312896375406301
96,1496,0.12146436593718858,0.9999999999999999,0.8785356340628113
97,2247,0.02279317283552373,1.0,0.9772068271644763
98,2060,0.07436911800380122,1.0,0.9256308819961988
99,2053,0.09635455515281931,0.9999999999999999,0.9036454448471806
100,2529,0.025091131417532657,1.0,0.9749088685824674
101,2474,0.028105940608480495,1.0,0.9718940593915195
102,2162,0.08537171253734643,0.9999999999999998,0.9146282874626533
103,2123,0.14073885540985603,0.9999999999999999,0.8592611445901439
104,2135,0.150776017501789,0.9999999999999998,0.8492239824982107
105,2378,0.1258522145512531,0.9999999999999999,0.8741477854487468
106,2424,0.16920297025471154,0.9999999999999999,0.8307970297452884
107,2392,0.21286169812373468,0.9999999999999998,0.7871383018762651
108,2382,0.26350501538934895,1.0,0.736494984610651
109,2279,0.27092442323039584,1.0,0.7290755767696042
110,2186,0.23133300385183478,0.9999999999999998,0.768666996148165
111,2308,0.17899031200454538,0.9999999999999999,0.8210096879954545
112,2290,0.18791975258224936,0.9999999999999999,0.8120802474177505
113,2277,0.17471636844537322,0.9999999999999999,0.8252836315546267
114,2641,0.08777091860470752,0.9999999999999999,0.9122290813952924
