sequence,frame,matches,ground_truth_distance,estimated_distance,localization_error
P000,50,88,0.046088020683698244,0.05,0.0039119793163017585
P000,51,85,0.06543444604556856,0.05,0.015434446045568553
P000,52,92,0.11718441243739239,0.05,0.06718441243739239
P000,53,149,0.0930015840178363,0.0745,0.018501584017836303
P000,54,184,0.06827673400306779,0.092,0.02372326599693221
P000,55,181,0.025866117667191997,0.0905,0.06463388233280801
P000,56,209,0.08684916503456822,0.1045,0.01765083496543178
P000,57,298,0.026778794486832472,0.149,0.12222120551316752
P000,58,236,0.048311605677456404,0.118,0.06968839432254359
P000,59,310,0.013685224466228501,0.155,0.1413147755337715
P000,60,306,0.06327267275858547,0.153,0.08972732724141452
P000,61,550,0.033281664313659635,0.275,0.24171833568634038
P000,62,558,0.07548807607166998,0.279,0.20351192392833006
P000,63,706,0.14355201739024517,0.353,0.2094479826097548
P000,64,1165,0.06497782279964744,0.5825,0.5175221772003525
P000,65,1232,0.09897508531394665,0.616,0.5170249146860534
P000,66,1920,0.004711947774021275,0.96,0.9552880522259787
P000,67,1511,0.04966250512121115,0.7555,0.7058374948787888
P000,68,1435,0.06608934606226667,0.7175,0.6514106539377333
P000,69,1572,0.03806921291063307,0.786,0.747930787089367
P000,70,1550,0.030307262756092284,0.775,0.7446927372439077
P000,71,1027,0.11091239303782492,0.5135,0.40258760696217505
P000,72,857,0.13687068011309647,0.4285,0.29162931988690355
P000,73,754,0.09468671820762534,0.377,0.2823132817923747
P000,74,854,0.041485457032006734,0.427,0.38551454296799326
P000,75,593,0.07767047785610087,0.2965,0.2188295221438991
P000,76,440,0.13747532182205863,0.22,0.08252467817794137
P000,77,545,0.0965209497066664,0.2725,0.1759790502933336
P000,78,700,0.023106943913522852,0.35,0.3268930560864771
P000,79,720,0.03172368803907478,0.36,0.3282763119609252
P000,80,609,0.10750320522036336,0.3045,0.19699679477963664
P000,81,707,0.04724088483573665,0.3535,0.30625911516426335
P000,82,816,0.018847837859096286,0.408,0.3891521621409037
P000,83,788,0.03368254772382526,0.394,0.36031745227617473
P000,84,916,0.017598060759247316,0.458,0.4404019392407527
P000,85,739,0.06859053106389355,0.3695,0.30090946893610643
P000,86,828,0.027695306460323265,0.414,0.3863046935396767
P000,87,725,0.053147934357895395,0.3625,0.3093520656421046
P000,88,574,0.11549659376765725,0.287,0.17150340623234273
P000,89,513,0.16119029602356552,0.2565,0.09530970397643448
P000,90,584,0.07875900779202855,0.292,0.21324099220797144
P000,91,362,0.1265541280942917,0.181,0.05444587190570829
P000,92,325,0.04054617043974962,0.1625,0.12195382956025039
P000,93,265,0.076740806604416,0.1325,0.05575919339558401
P000,94,495,0.05482492869521727,0.2475,0.19267507130478273
P000,95,949,0.06871036245936976,0.4745,0.40578963754063024
P000,96,1517,0.12146436593718858,0.7585,0.6370356340628114
P000,97,2206,0.02279317283552373,1.0,0.9772068271644763
P000,98,2068,0.07436911800380122,1.0,0.9256308819961988
P000,99,2050,0.09635455515281931,1.0,0.9036454448471807
P000,100,2530,0.025091131417532657,1.0,0.9749088685824674
P000,101,2446,0.028105940608480495,1.0,0.9718940593915195
P000,102,2173,0.08537171253734643,1.0,0.9146282874626536
P000,103,2077,0.14073885540985603,1.0,0.8592611445901439
P000,104,2159,0.150776017501789,1.0,0.849223982498211
P000,105,2374,0.1258522145512531,1.0,0.8741477854487469
P000,106,2410,0.16920297025471154,1.0,0.8307970297452885
P000,107,2373,0.21286169812373468,1.0,0.7871383018762653
P000,108,2311,0.26350501538934895,1.0,0.736494984610651
P000,109,2264,0.27092442323039584,1.0,0.7290755767696042
P000,110,2207,0.23133300385183478,1.0,0.7686669961481652
P000,111,2308,0.17899031200454538,1.0,0.8210096879954546
P000,112,2236,0.18791975258224936,1.0,0.8120802474177506
P000,113,2240,0.17471636844537322,1.0,0.8252836315546268
P000,114,2572,0.08777091860470752,1.0,0.9122290813952925
P001,0,608,0.14771706983756988,0.304,0.1562829301624301
P001,1,848,0.07318231224779378,0.424,0.35081768775220623
P001,2,1065,0.0030727804361583362,0.5325,0.5294272195638416
P001,3,985,0.03387175487365022,0.4925,0.45862824512634975
P001,4,736,0.09981293460937431,0.368,0.2681870653906257
P001,5,787,0.02519745889088508,0.3935,0.3683025411091149
P001,6,851,0.0014570060414598887,0.4255,0.4240429939585401
P001,7,789,0.06197236006426978,0.3945,0.33252763993573026
P001,8,713,0.15237338859224553,0.3565,0.20412661140775445
P001,9,859,0.20054589461295264,0.4295,0.22895410538704736
P001,10,916,0.2607533966291355,0.458,0.19724660337086453
P001,11,1075,0.21606197993305712,0.5375,0.3214380200669429
P001,12,872,0.1986708559513488,0.436,0.23732914404865119
P001,13,543,0.11444654854903194,0.2715,0.15705345145096808
P001,14,364,0.10566139935541452,0.182,0.07633860064458547
P001,15,179,0.19930366398353408,0.0895,0.10980366398353408
P001,16,44,0.18891025455481297,0.05,0.13891025455481298
P001,17,7,0.22876129427860795,0.05,0.17876129427860793
P001,18,1,0.14542808453411069,0.05,0.09542808453411068
P001,19,1,0.12246666392504983,0.05,0.07246666392504983
P001,20,2,0.1306356547931979,0.05,0.08063565479319788
P001,21,1,0.15911074550042367,0.05,0.10911074550042367
P001,22,1,0.08277918837239877,0.05,0.032779188372398765
P001,23,1,0.03427569603400838,0.05,0.015724303965991622
P001,24,1,0.1262707424988319,0.05,0.07627074249883191
P001,25,1,0.05037109610614812,0.05,0.0003710961061481194
P001,26,2,0.12456530974506776,0.05,0.07456530974506775
P001,27,2,0.03681929324058846,0.05,0.013180706759411541
P001,28,0,0.009346650648189396,0.05,0.04065334935181061
P001,29,0,0.08833935269100449,0.05,0.03833935269100448
P001,30,1,0.1623768467430628,0.05,0.1123768467430628
P001,31,0,0.12861148827934824,0.05,0.07861148827934823
P001,32,0,0.07213973227379332,0.05,0.022139732273793317
P001,33,3,0.00914880199582805,0.05,0.04085119800417195
P001,34,4,0.03290260767154794,0.05,0.01709739232845206
P001,35,6,0.04365419948469374,0.05,0.006345800515306262
P001,36,12,0.0995086904728929,0.05,0.0495086904728929
P001,37,29,0.08195907370083155,0.05,0.03195907370083155
P001,38,34,0.09302249214798676,0.05,0.04302249214798676
P001,39,30,0.1069019982873947,0.05,0.0569019982873947
P001,40,66,0.13107893090485714,0.05,0.08107893090485714
P001,41,196,0.17232191007978384,0.098,0.07432191007978384
P001,42,884,0.10225779380399706,0.442,0.3397422061960029
P001,43,871,0.17552486345204305,0.4355,0.25997513654795695
P001,44,671,0.16888327165417075,0.3355,0.16661672834582927
P001,45,300,0.18012159211834564,0.15,0.03012159211834564
P001,46,378,0.23290523844712543,0.189,0.04390523844712543
P001,47,1171,0.21282194986843458,0.5855,0.3726780501315654
P001,48,1573,0.21546252138954772,0.7865,0.5710374786104523
P001,49,1813,0.15926834381832272,0.9065,0.7472316561816772
P001,50,2108,0.07827690827954012,1.0,0.9217230917204599
P001,51,1965,0.1202916380286542,0.9825,0.8622083619713459
P001,52,1824,0.1639300040824277,0.912,0.7480699959175723
P001,53,2047,0.0844955458333579,1.0,0.9155044541666421
P001,54,2466,0.014161846641206633,1.0,0.9858381533587933
P001,55,2103,0.06968108577652479,1.0,0.9303189142234752
P001,56,2141,0.058430168260122796,1.0,0.9415698317398772
P001,57,2301,0.028233871289677567,1.0,0.9717661287103224
P001,58,1829,0.07691157911915886,0.9145,0.8375884208808411
P001,59,2056,0.04190586334873379,1.0,0.9580941366512662
P001,60,1967,0.1166694869184024,0.9835,0.8668305130815976
P001,61,1827,0.1428420796076937,0.9135,0.7706579203923063
P001,62,1910,0.1245221757271389,0.955,0.8304778242728611
P001,63,1909,0.13307065618385813,0.9545,0.8214293438161419
P001,64,2274,0.057196241585161324,1.0,0.9428037584148387
P001,65,2362,0.04943005824826014,1.0,0.9505699417517398
P001,66,2082,0.11324485093640602,1.0,0.886755149063594
P001,67,2104,0.11183164953034691,1.0,0.8881683504696531
P001,68,2464,0.045253223934244094,1.0,0.9547467760657559
P001,69,2161,0.0813342935228029,1.0,0.9186657064771971
P001,70,1781,0.17490905780329014,0.8905,0.7155909421967098
P001,71,1811,0.12971272522799268,0.9055,0.7757872747720073
P001,72,1939,0.10735759409882045,0.9695,0.8621424059011795
P001,73,2253,0.06751775123894417,1.0,0.9324822487610558
P001,74,2373,0.025764770382631873,1.0,0.9742352296173681
P001,75,2326,0.029770020591933597,1.0,0.9702299794080664
P001,76,2214,0.04140807711452799,1.0,0.958591922885472
P001,77,2319,0.03738576435439811,1.0,0.9626142356456019
P001,78,2324,0.032626834326182144,1.0,0.9673731656738178
P001,79,2379,0.02987145326150726,1.0,0.9701285467384927
P001,80,1972,0.1073110026528523,0.986,0.8786889973471477
P001,81,1843,0.14221772522424317,0.9215,0.7792822747757568
P001,82,1749,0.22297698300575722,0.8745,0.6515230169942429
P001,83,1853,0.162769033815386,0.9265,0.763730966184614
P001,84,1988,0.131697595834988,0.994,0.862302404165012
P001,85,2034,0.11485329209114326,1.0,0.8851467079088567
P001,86,2516,0.03529058887639301,1.0,0.964709411123607
P001,87,2681,0.007206674072300828,1.0,0.9927933259276992
P001,88,2687,0.011180823187801418,1.0,0.9888191768121986
P001,89,2264,0.06846826747093465,1.0,0.9315317325290653
P001,90,2557,0.027391602717730338,1.0,0.9726083972822697
P001,91,2350,0.06140755774436152,1.0,0.9385924422556384
P001,92,1908,0.14391915961551108,0.954,0.8100808403844889
P001,93,1781,0.18713563065429936,0.8905,0.7033643693457006
P001,94,1536,0.24203179864636706,0.768,0.525968201353633
P001,95,1553,0.208235040780549,0.7765,0.568264959219451
P001,96,1461,0.26343342135920234,0.7305,0.4670665786407977
P001,97,1675,0.16884895574975609,0.8375,0.6686510442502439
P001,98,1208,0.23173262617310256,0.604,0.37226737382689745
P001,99,1114,0.14259320150914878,0.557,0.41440679849085127
P001,100,1310,0.06912413305345147,0.655,0.5858758669465486
P001,101,1108,0.14801450357380744,0.554,0.40598549642619264
P001,102,1264,0.05270246189933316,0.632,0.5792975381006669
P001,103,1049,0.13576315808813558,0.5245,0.3887368419118644
P001,104,870,0.21762475545455576,0.435,0.21737524454544424
P001,105,725,0.2738296828275715,0.3625,0.08867031717242851
P001,106,968,0.21575959294233632,0.484,0.26824040705766367
P001,107,1282,0.13763011099615569,0.641,0.5033698890038443
P001,108,1256,0.13020629687488675,0.628,0.4977937031251133
P001,109,1013,0.17315168509092083,0.5065,0.3333483149090791
P001,110,992,0.13933293656655554,0.496,0.35666706343344445
P001,111,1153,0.06254967867233505,0.5765,0.5139503213276649
P001,112,1371,0.009458720232812743,0.6855,0.6760412797671873
P001,113,1191,0.025431805013345136,0.5955,0.5700681949866548
P001,114,1009,0.05440902791278627,0.5045,0.45009097208721366
P001,115,713,0.12533590947557408,0.3565,0.2311640905244259
P001,116,678,0.16728061511376444,0.339,0.1717193848862356
P001,117,667,0.21866141205132214,0.3335,0.11483858794867788
P001,118,732,0.13659240456899172,0.366,0.22940759543100828
P002,0,1263,0.18303425633895729,0.6315,0.44846574366104264
P002,1,1431,0.1890811196437141,0.7155,0.5264188803562859
P002,2,1411,0.2309444818198576,0.7055,0.4745555181801424
P002,3,1217,0.31217015049568897,0.6085,0.29632984950431107
P002,4,1201,0.2931732651565133,0.6005,0.3073267348434867
P002,5,1454,0.2695869725925145,0.727,0.45741302740748546
P002,6,1524,0.3673355636278864,0.762,0.3946644363721136
P002,7,1510,0.2741926432116658,0.755,0.4808073567883342
P002,8,1657,0.19871672505602442,0.8285,0.6297832749439756
P002,9,1738,0.23603077023671598,0.869,0.6329692297632841
P002,10,1873,0.18870905018651823,0.9365,0.7477909498134818
P002,11,1859,0.24293629021018634,0.9295,0.6865637097898136
P002,12,2138,0.14954983611657358,1.0,0.8504501638834264
P002,13,2514,0.06663077066101614,1.0,0.9333692293389839
P002,14,2585,0.07560567177677434,1.0,0.9243943282232256
P002,15,2388,0.09474460647379081,1.0,0.9052553935262092
P002,16,2516,0.0467851710960138,1.0,0.9532148289039862
P002,17,2244,0.09947195948449769,1.0,0.9005280405155023
P002,18,2934,0.03589286977200715,1.0,0.9641071302279929
P002,19,2858,0.04482145181602292,1.0,0.9551785481839771
P002,20,3036,0.013362134281813818,1.0,0.9866378657181862
P002,21,2923,0.02403773429503847,1.0,0.9759622657049616
P002,22,2829,0.03143481714953726,1.0,0.9685651828504628
P002,23,2511,0.09290625654410412,1.0,0.9070937434558959
P002,24,2371,0.11967440720900863,1.0,0.8803255927909914
P002,25,2272,0.15755499529417435,1.0,0.8424450047058256
P002,26,1738,0.2515822587592603,0.869,0.6174177412407397
P002,27,1565,0.31605737519784455,0.7825,0.4664426248021554
P002,28,1652,0.26977635876200684,0.826,0.5562236412379931
P002,29,2075,0.20674773375728905,1.0,0.793252266242711
P002,30,2359,0.11652855571762169,1.0,0.8834714442823783
P002,31,2214,0.17920179748276668,1.0,0.8207982025172333
P002,32,2027,0.22558051087284006,1.0,0.77441948912716
P002,33,2007,0.21896734630358247,1.0,0.7810326536964175
P002,34,2262,0.20938568119695558,1.0,0.7906143188030444
P002,35,2508,0.11625213748725398,1.0,0.8837478625127461
P002,36,3001,0.038131741005597165,1.0,0.9618682589944029
P002,37,2469,0.12424452516998699,1.0,0.875755474830013
P002,38,2653,0.05941441333553545,1.0,0.9405855866644646
P002,39,2782,0.01701654136807526,1.0,0.9829834586319247
P002,40,2305,0.07869364011418546,1.0,0.9213063598858146
P002,41,2199,0.11403101150247903,1.0,0.8859689884975209
P002,42,2765,0.020355466490386852,1.0,0.9796445335096131
P002,43,2735,0.0398036208966111,1.0,0.960196379103389
P002,44,2212,0.11537655863663983,1.0,0.8846234413633601
P002,45,2038,0.17591298116793774,1.0,0.8240870188320623
P002,46,2150,0.14638429159193292,1.0,0.8536157084080671
P002,47,2156,0.13288795625528757,1.0,0.8671120437447124
P002,48,2308,0.08668528502521397,1.0,0.913314714974786
P002,49,1923,0.15817811522944147,0.9615,0.8033218847705585
P002,50,1955,0.13562141485511123,0.9775,0.8418785851448888
P002,51,1807,0.18816458714846032,0.9035,0.7153354128515397
P002,52,1710,0.15939007172883454,0.855,0.6956099282711654
P002,53,1795,0.12794268459394234,0.8975,0.7695573154060577
P002,54,2240,0.03890611591216569,1.0,0.9610938840878344
P002,55,2450,0.016538422982407288,1.0,0.9834615770175927
P002,56,2050,0.09614934944717624,1.0,0.9038506505528238
P002,57,2417,0.03672263565113032,1.0,0.9632773643488697
P002,58,1973,0.09817969018989248,0.9865,0.8883203098101076
P002,59,2571,0.016942176107834883,1.0,0.9830578238921651
P002,60,2251,0.041775789524273604,1.0,0.9582242104757264
P002,61,2142,0.029195465379741898,1.0,0.9708045346202581
P002,62,2146,0.047569003249019824,1.0,0.9524309967509802
P002,63,1920,0.11125435871120802,0.96,0.8487456412887919
P002,64,2466,0.025861025979853024,1.0,0.9741389740201469
P002,65,1792,0.11260474879946121,0.896,0.7833952512005388
P002,66,1786,0.09493374868011245,0.893,0.7980662513198875
P002,67,1918,0.066574940853946,0.959,0.892425059146054
P002,68,1571,0.15357659053025066,0.7855,0.6319234094697493
P002,69,1651,0.11611138605134971,0.8255,0.7093886139486503
P002,70,1717,0.11896115205404738,0.8585,0.7395388479459527
P002,71,1590,0.1886894264784603,0.795,0.6063105735215397
P002,72,1725,0.18069146055838395,0.8625,0.6818085394416161
P002,73,1941,0.13395847261894106,0.9705,0.836541527381059
P002,74,2102,0.13204755028909898,1.0,0.867952449710901
P002,75,2229,0.12882751432640646,1.0,0.8711724856735935
P002,76,1836,0.18535797034252802,0.918,0.732642029657472
P002,77,2177,0.12481112074916705,1.0,0.875188879250833
P002,78,2372,0.09734096380528519,1.0,0.9026590361947148
P002,79,2079,0.12883645626026524,1.0,0.8711635437397347
P002,80,2411,0.04429192315012907,1.0,0.9557080768498709
P002,81,2484,0.04247559211760852,1.0,0.9575244078823915
P002,82,2544,0.041101001642507996,1.0,0.958898998357492
P002,83,2049,0.12822227619801102,1.0,0.871777723801989
P002,84,1704,0.2208279263705694,0.852,0.6311720736294306
P002,85,1678,0.29057164248289863,0.839,0.5484283575171014
P002,86,1506,0.3177297006841373,0.753,0.4352702993158627
P002,87,1294,0.25224944598883264,0.647,0.3947505540111674
P002,88,1246,0.22159705621751263,0.623,0.40140294378248736
P002,89,1404,0.16798469573549332,0.702,0.5340153042645066
P002,90,1379,0.23377189086693997,0.6895,0.45572810913306006
P002,91,1328,0.15176079883490187,0.664,0.5122392011650981
P002,92,1359,0.14749147066839519,0.6795,0.5320085293316048
P002,93,1212,0.17107556687587946,0.606,0.43492443312412055
P002,94,985,0.1609228777341967,0.4925,0.33157712226580327
P002,95,613,0.1297651507390793,0.3065,0.1767348492609207
P002,96,584,0.04724582250639103,0.292,0.24475417749360895
P002,97,849,0.00047600794545573456,0.4245,0.4240239920545443
P002,98,253,0.06322350141203256,0.1265,0.06327649858796744
P002,99,243,0.01439543616131385,0.1215,0.10710456383868615
P002,100,82,0.030945883996339543,0.05,0.01905411600366046
P002,101,28,0.10532466831657138,0.05,0.055324668316571374
P002,102,13,0.06366019234469207,0.05,0.013660192344692068
P002,103,15,0.0018019961335982084,0.05,0.048198003866401794
P002,104,3,0.038136970282029246,0.05,0.011863029717970756
P002,105,0,0.09073163096451525,0.05,0.04073163096451525
P002,106,0,0.10747822777462578,0.05,0.05747822777462577
P002,107,0,0.03276898810621813,0.05,0.017231011893781872
P002,108,0,0.033847043377226445,0.05,0.016152956622773558
P002,109,0,0.016166709305429794,0.05,0.03383329069457021
P002,110,0,0.009966723783522534,0.05,0.04003327621647747
P002,111,0,0.06440571922584862,0.05,0.014405719225848615
P002,112,0,0.09875147206160707,0.05,0.04875147206160707
P002,113,1,0.1067462593586032,0.05,0.056746259358603196
P002,114,29,0.010347788872996911,0.05,0.039652211127003095
P002,115,34,0.07255911267956641,0.05,0.02255911267956641
P002,116,51,0.022740231499534455,0.05,0.027259768500465548
P002,117,47,0.10239568593078556,0.05,0.05239568593078556
P002,118,560,0.14544534124081632,0.28,0.1345546587591837
P002,119,1294,0.07825532468350496,0.647,0.5687446753164951
P002,120,1596,0.07010874977070404,0.798,0.727891250229296
P002,121,1926,0.031154049456915,0.963,0.9318459505430849
P002,122,1358,0.12983143882568762,0.679,0.5491685611743125
P002,123,1626,0.06928313927924805,0.813,0.7437168607207519
P002,124,2052,0.0163375463474932,1.0,0.9836624536525068
P002,125,2001,0.019621987039641214,1.0,0.9803780129603588
P002,126,1701,0.058529430025119435,0.8505,0.7919705699748806
P002,127,1635,0.08547385327994202,0.8175,0.732026146720058
P002,128,1372,0.16190209162028205,0.686,0.524097908379718
P002,129,1223,0.25148319005250763,0.6115,0.3600168099474924
P002,130,1069,0.26897777790274585,0.5345,0.2655222220972541
P002,131,894,0.34447982111765496,0.447,0.10252017888234505
P002,132,853,0.286341691758821,0.4265,0.14015830824117897
P003,0,2489,0.019618270651751816,1.0,0.9803817293482482
P003,1,2210,0.07952346134791467,1.0,0.9204765386520853
P003,2,2100,0.07918384009851605,1.0,0.9208161599014839
P003,3,1716,0.08648717164514971,0.858,0.7715128283548502
P003,4,1911,0.01678991883774499,0.9555,0.9387100811622551
P003,5,2096,0.10578190873969096,1.0,0.894218091260309
P003,6,2286,0.054856137058350594,1.0,0.9451438629416494
P003,7,2143,0.031847726475338366,1.0,0.9681522735246616
P003,8,1894,0.09609202437295361,0.947,0.8509079756270463
P003,9,1694,0.18259734833281677,0.847,0.6644026516671833
P003,10,1701,0.18107968901754593,0.8505,0.6694203109824541
P003,11,1613,0.21489532733432187,0.8065,0.5916046726656781
P003,12,1570,0.23733618644546767,0.785,0.5476638135545324
P003,13,1509,0.2505394906707664,0.7545,0.5039605093292335
P003,14,1595,0.1815596970203586,0.7975,0.6159403029796414
P003,15,1727,0.10141268031449639,0.8635,0.7620873196855037
P003,16,1487,0.18910496068690866,0.7435,0.5543950393130914
P003,17,1565,0.16434517568121398,0.7825,0.618154824318786
P003,18,1686,0.2273638546959368,0.843,0.6156361453040632
P003,19,1806,0.14182795727357206,0.903,0.7611720427264279
P003,20,1546,0.20853679047110035,0.773,0.5644632095288997
P003,21,1617,0.17139441677713033,0.8085,0.6371055832228697
P003,22,1462,0.2539669788832747,0.731,0.4770330211167253
P003,23,1583,0.18153358397055125,0.7915,0.6099664160294487
P003,24,1713,0.16884652094174407,0.8565,0.687653479058256
P003,25,1754,0.13635142233703876,0.877,0.7406485776629612
P003,26,1756,0.14664927658317287,0.878,0.7313507234168272
P003,27,1724,0.15102543900258456,0.862,0.7109745609974154
P003,28,1527,0.23920408319332223,0.7635,0.5242959168066778
P003,29,1718,0.15651470254378186,0.859,0.7024852974562181
P003,30,1826,0.1005015935494811,0.913,0.812498406450519
P003,31,1672,0.1377714985850402,0.836,0.6982285014149597
P003,32,1598,0.1315297225369345,0.799,0.6674702774630655
P003,33,1449,0.1846030686041813,0.7245,0.5398969313958187
P003,34,1547,0.12912820672914033,0.7735,0.6443717932708597
P003,35,1986,0.07049975337645552,0.993,0.9225002466235445
P003,36,2357,0.02686157149562268,1.0,0.9731384285043774
P003,37,2454,0.020432080064408897,1.0,0.9795679199355911
P003,38,1597,0.11710356444183326,0.7985,0.6813964355581668
P003,39,1508,0.1295295948343251,0.754,0.6244704051656749
P003,40,1582,0.13322803324068763,0.791,0.6577719667593124
P003,41,1572,0.14719637901135432,0.786,0.6388036209886457
P003,42,1935,0.0743803959230955,0.9675,0.8931196040769045
P003,43,1608,0.14391362596347454,0.804,0.6600863740365255
P003,44,1813,0.11062562191912004,0.9065,0.7958743780808799
P003,45,2115,0.06778891707650053,1.0,0.9322110829234995
P003,46,2245,0.049316615040761895,1.0,0.9506833849592381
P003,47,2359,0.05947545407247473,1.0,0.9405245459275253
P003,48,2080,0.1551748754838638,1.0,0.8448251245161362
P003,49,2498,0.0879511846481049,1.0,0.9120488153518951
P003,50,2397,0.14034080714134087,1.0,0.8596591928586591
P003,51,2681,0.08357372955904503,1.0,0.9164262704409549
P003,52,2300,0.16903028500820078,1.0,0.8309697149917992
P003,53,2525,0.0909085263878091,1.0,0.9090914736121909
P003,54,2418,0.010990361164811323,1.0,0.9890096388351887
P003,55,2119,0.052785714312638274,1.0,0.9472142856873618
P003,56,1919,0.10261180924212486,0.9595,0.8568881907578751
P003,57,1771,0.18547110092791494,0.8855,0.700028899072085
P003,58,1715,0.18184513882341777,0.8575,0.6756548611765822
P003,59,1719,0.2017311676568373,0.8595,0.6577688323431627
P003,60,1683,0.2650350730452587,0.8415,0.5764649269547413
P003,61,1725,0.2659781729926974,0.8625,0.5965218270073027
P003,62,1828,0.17740407560916635,0.914,0.7365959243908337
P003,63,1992,0.09548285934563062,0.996,0.9005171406543694
P003,64,2170,0.06088651202347044,1.0,0.9391134879765296
P003,65,2486,0.0020453132354722597,1.0,0.9979546867645277
P003,66,2217,0.06714638436578682,1.0,0.9328536156342132
P003,67,1767,0.13510826461254263,0.8835,0.7483917353874573
P003,68,1411,0.19333391306765663,0.7055,0.5121660869323434
P003,69,1239,0.17823238211318937,0.6195,0.4412676178868107
P003,70,1147,0.11931732817113978,0.5735,0.45418267182886024
P003,71,931,0.12833442220676566,0.4655,0.33716557779323436
P003,72,661,0.2226009094143979,0.3305,0.10789909058560213
P003,73,492,0.25021584333742414,0.246,0.004215843337424141
P003,74,557,0.2603253980671292,0.2785,0.01817460193287085
P003,75,546,0.2681233869154289,0.273,0.004876613084571102
P003,76,878,0.3019553560024113,0.439,0.1370446439975887
P003,77,951,0.24058135098255132,0.4755,0.23491864901744866
P003,78,856,0.23511556216678622,0.428,0.19288443783321377
P003,79,689,0.16253894481178274,0.3445,0.18196105518821723
P003,80,367,0.159828014998423,0.1835,0.023671985001576995
P003,81,366,0.24400658703356679,0.183,0.06100658703356679
P003,82,918,0.18711217351304438,0.459,0.27188782648695564
P003,83,1125,0.0972288963477873,0.5625,0.4652711036522127
P003,84,928,0.13350849132834183,0.464,0.3304915086716582
P003,85,737,0.12369603049845425,0.3685,0.24480396950154576
P003,86,434,0.1554891144343722,0.217,0.06151088556562781
P003,87,261,0.1112194099031952,0.1305,0.0192805900968048
P003,88,137,0.08238416601313331,0.0685,0.013884166013133303
P003,89,100,0.07793401748703684,0.05,0.027934017487036833
P003,90,179,0.018518088488930308,0.0895,0.0709819115110697
P003,91,246,0.08408947811164212,0.123,0.03891052188835788
P003,92,407,0.09557940404695663,0.2035,0.10792059595304336
P003,93,667,0.07639014955698305,0.3335,0.257109850443017
P003,94,958,0.0065534333963722345,0.479,0.47244656660362777
P003,95,873,0.03225511399031923,0.4365,0.4042448860096808
P003,96,920,0.03355043222592699,0.46,0.42644956777407306
P003,97,877,0.08342964052927959,0.4385,0.3550703594707204
P003,98,798,0.16947030152793915,0.399,0.22952969847206087
